Handle,Title,Type,Tags,Vendor,Published,Variant Price,Image Src,Variant SKU
artenom-seleccion-de-1146-anejo-tequila-100-de-agave-azul,Artenom Seleccion De 1146 Anejo Tequila 100 De Agave Azul 750ml,Tequila,"tequila, anejo",Artenom Seleccion,TRUE,159.99,https://www.liquorstore-online.com/product_images/p_216482.webp,60888f5f1a6ad0387337627a
artenom-seleccion-de-1146-anejo-tequila-750ml,ArteNOM Seleccion de 1146 Anejo Tequila 750ml,Tequila,"tequila, anejo",ArteNOM Seleccion,TRUE,149.99,https://www.liquorstore-online.com/product_images/p_162847.webp,Teq652
artenom-seleccion-de-1414-agave-azul-reposado-tequila-jalisco-mexico,Artenom Seleccion De 1414 Agave Azul Reposado Tequila Jalisco Mexico 750ml,Tequila,"tequila, reposado",Arte Nom,TRUE,135.99,https://www.liquorstore-online.com/product_images/p_216483.webp,603a799f98f2df5d46b2cec3
asombroso-11-year-old-extra-anejo-tequila-750-ml,AsomBroso 11 Year Old Extra Anejo Tequila-750 ML,Tequila,"tequila, extra-anejo",Asombroso,TRUE,687.99,https://www.liquorstore-online.com/product_images/p_249769.webp,shopify_US_7886743273659_44793494995131
asombroso-5-year-extra-anejo-750ml,AsomBroso 5 Year Extra Anejo 750ml,Tequila,"tequila, extra-anejo",Asombroso Extra,TRUE,259.99,https://www.liquorstore-online.com/product_images/p_185872.webp,57aa387f69702d628d292001
asombroso-collaboration-extra-anejo-tequila,Asombroso Collaboration Extra Anejo Tequila 750ml,Tequila,"tequila, extra-anejo",Asombroso,TRUE,3690.00,https://www.liquorstore-online.com/product_images/p_252096.webp,125217
asombroso-el-carbonzado-tequila-750-ml,AsomBroso El Carbonzado Tequila-750 ML,Tequila,tequila,Asombroso,TRUE,607.99,https://www.liquorstore-online.com/product_images/p_249782.webp,shopify_US_7886750810299_44793504596155
asombroso-eros-reposado-tequila,AsomBroso Eros Reposado Tequila 750ml,Tequila,"tequila, reposado",Asombroso,TRUE,274.00,https://www.liquorstore-online.com/product_images/p_252082.webp,125905
asombroso-silver-750ml,Asombroso Silver 750ml,Tequila,"tequila, blanco",AsomBroso Silver,TRUE,90.48,https://www.liquorstore-online.com/product_images/p_177853.webp,599c5e964bda77214d30a7e8
asombroso-extra-anejo-gran-reserva-tequila,Asombroso Extra Anejo Gran Reserva Tequila 750ml,Tequila,"tequila, extra-anejo",Asombroso Extra,TRUE,360.00,https://www.liquorstore-online.com/product_images/p_252077.webp,125214
